Optimizers,Activation,Architecture,weight_decay,Learning_rate,Losses
Adam,ReLU,Wide_stride,weight_decay=0.0001,learning_rate=0.0001,0.766527276128188
Adam,ReLU,Wide_stride,weight_decay=1e-05,learning_rate=0.0001,0.8429324527554953
RMSprop,ReLU,Wide_stride,weight_decay=0.0001,learning_rate=0.0001,0.891606269749595
RMSprop,ReLU,Wide_stride,weight_decay=1e-05,learning_rate=0.0001,0.9332301925880025
Adam,ReLU,Wide_stride,weight_decay=1e-05,learning_rate=0.001,0.9506559056731032
Adam,Sigmoid,Wide_stride,weight_decay=0.0001,learning_rate=0.0001,0.9627520713974056
Adam,Sigmoid,Wide_stride,weight_decay=1e-05,learning_rate=0.001,0.9681942923037496
RMSprop,ReLU,Wide_stride,weight_decay=1e-05,learning_rate=0.001,0.973341711415729
RMSprop,Sigmoid,Wide_stride,weight_decay=0.0001,learning_rate=0.0001,0.9908047092022644
Adam,Sigmoid,Wide_stride,weight_decay=1e-05,learning_rate=0.0001,1.0220176291544467
Adam,Sigmoid,Wide_stride,weight_decay=0.0001,learning_rate=0.001,1.0357660148771424
RMSprop,Sigmoid,Wide_stride,weight_decay=1e-05,learning_rate=0.0001,1.036633316343938
RMSprop,ReLU,Wide_stride,weight_decay=0.0001,learning_rate=0.001,1.2555410460052903
RMSprop,Sigmoid,Wide_stride,weight_decay=0.0001,learning_rate=0.001,1.3827978328954256
Adam,ReLU,Wide_stride,weight_decay=0.0001,learning_rate=0.001,1.3829553029105113
RMSprop,ReLU,Wide_pooling,weight_decay=0.0001,learning_rate=0.0001,2.3025373631795065
Adam,ReLU,Long_stride,weight_decay=0.0001,learning_rate=0.0001,2.3025442212389526
RMSprop,Sigmoid,Wide_pooling,weight_decay=1e-05,learning_rate=0.0001,2.302561181506327
Adam,ReLU,Long_pooling,weight_decay=0.0001,learning_rate=0.0001,2.302572797223325
Adam,ReLU,Wide_pooling,weight_decay=1e-05,learning_rate=0.0001,2.302576282603927
Adam,Sigmoid,Wide_pooling,weight_decay=1e-05,learning_rate=0.001,2.3025770260804985
Adam,ReLU,Wide_pooling,weight_decay=1e-05,learning_rate=0.001,2.3025788578069704
Adam,ReLU,Wide_pooling,weight_decay=0.0001,learning_rate=0.0001,2.302583171345622
RMSprop,ReLU,Wide_pooling,weight_decay=1e-05,learning_rate=0.0001,2.3025832040506744
RMSprop,Sigmoid,Wide_pooling,weight_decay=0.0001,learning_rate=0.0001,2.3025880198555795
Adam,ReLU,Wide_pooling,weight_decay=0.0001,learning_rate=0.001,2.302657416293132
RMSprop,Sigmoid,Wide_pooling,weight_decay=1e-05,learning_rate=0.001,2.3026677177250323
Adam,Sigmoid,Wide_pooling,weight_decay=0.0001,learning_rate=0.0001,2.30274809057563
RMSprop,ReLU,Wide_pooling,weight_decay=1e-05,learning_rate=0.001,2.3028594478313074
Adam,Sigmoid,Wide_pooling,weight_decay=1e-05,learning_rate=0.0001,2.302955487522386
Adam,Sigmoid,Wide_pooling,weight_decay=0.0001,learning_rate=0.001,2.303463635572053
RMSprop,ReLU,Wide_pooling,weight_decay=0.0001,learning_rate=0.001,2.3038125864041668
RMSprop,Sigmoid,Wide_pooling,weight_decay=0.0001,learning_rate=0.001,2.3109660996883012
RMSprop,Sigmoid,Wide_stride,weight_decay=1e-05,learning_rate=0.001,3.3114107603197676
